[0.000000] (-) TimerEvent: {}
[0.004554] (micro_ros_setup) JobQueued: {'identifier': 'micro_ros_setup', 'dependencies': OrderedDict()}
[0.005169] (micro_ros_setup) JobStarted: {'identifier': 'micro_ros_setup'}
[0.095400] (micro_ros_setup) JobProgress: {'identifier': 'micro_ros_setup', 'progress': 'cmake'}
[0.096953] (-) TimerEvent: {}
[0.100214] (micro_ros_setup) JobProgress: {'identifier': 'micro_ros_setup', 'progress': 'build'}
[0.105183] (micro_ros_setup) Command: {'cmd': ['/usr/bin/cmake', '--build', '/home/husarion/uros_ws/build/micro_ros_setup', '--', '-j4', '-l4'], 'cwd': '/home/husarion/uros_ws/build/micro_ros_setup', 'env': OrderedDict([('LESSOPEN', '| /usr/bin/lesspipe %s'), ('USER', 'husarion'), ('SSH_CLIENT', '192.168.100.89 61603 22'), ('ROS_NAMESPACE', 'robot5'), ('XDG_SESSION_TYPE', 'tty'), ('SHLVL', '1'), ('LD_LIBRARY_PATH', '/home/husarion/ROS2swarm/install/thymio_msgs/lib:/home/husarion/ROS2swarm/install/communication_interfaces/lib:/home/husarion/husarion_ws/install/rplidar_ros/lib:/home/husarion/husarion_ws/install/astra_camera/lib:/usr/lib/x86_64-linux-gnu/gazebo-11/plugins:/opt/ros/foxy/opt/yaml_cpp_vendor/lib:/opt/ros/foxy/opt/rviz_ogre_vendor/lib:/opt/ros/foxy/lib/x86_64-linux-gnu:/opt/ros/foxy/lib'), ('MOTD_SHOWN', 'pam'), ('HOME', '/home/husarion'), ('OLDPWD', '/home/husarion'), ('SSH_TTY', '/dev/pts/3'), ('ROS_PYTHON_VERSION', '3'), ('ROSBOT_VER', 'ROSBOT_2.0_PRO'), ('DBUS_SESSION_BUS_ADDRESS', 'unix:path=/run/user/1000/bus'), ('COLCON_PREFIX_PATH', '/home/husarion/ROS2swarm/install:/home/husarion/husarion_ws/install'), ('ROS_DISTRO', 'foxy'), ('LOGNAME', 'husarion'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('XDG_SESSION_CLASS', 'user'), ('TERM', 'xterm-256color'), ('XDG_SESSION_ID', '6'), ('SSH_INITIAL_SESSION', 'y'), ('ROS_LOCALHOST_ONLY', '0'), ('PATH', '/opt/ros/foxy/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin'), ('XDG_RUNTIME_DIR', '/run/user/1000'), ('LANG', 'en_US.UTF-8'), ('RMW_IMPLEMENTATION', 'rmw_fastrtps_cpp'), ('LS_COLORS', 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:'), ('ROS_DOMAIN_ID', '5'), ('AMENT_PREFIX_PATH', '/home/husarion/ROS2swarm/install/thymio_driver:/home/husarion/ROS2swarm/install/thymio_msgs:/home/husarion/ROS2swarm/install/thymio_description:/home/husarion/ROS2swarm/install/ros2swarm:/home/husarion/ROS2swarm/install/launch_gazebo:/home/husarion/ROS2swarm/install/communication_interfaces:/home/husarion/husarion_ws/install/rplidar_ros:/home/husarion/husarion_ws/install/route_admin_panel:/home/husarion/husarion_ws/install/rosbot_description:/home/husarion/husarion_ws/install/astra_camera:/opt/ros/foxy'), ('SHELL', '/bin/bash'), ('LESSCLOSE', '/usr/bin/lesspipe %s %s'), ('PWD', '/home/husarion/uros_ws/build/micro_ros_setup'), ('LC_ALL', 'en_US.UTF-8'), ('SSH_CONNECTION', '192.168.100.89 61603 192.168.100.90 22'), ('PYTHONPATH', '/home/husarion/ROS2swarm/build/thymio_driver:/home/husarion/ROS2swarm/install/thymio_driver/lib/python3.8/site-packages:/home/husarion/ROS2swarm/install/thymio_msgs/lib/python3.8/site-packages:/home/husarion/ROS2swarm/build/ros2swarm:/home/husarion/ROS2swarm/install/ros2swarm/lib/python3.8/site-packages:/home/husarion/ROS2swarm/build/launch_gazebo:/home/husarion/ROS2swarm/install/launch_gazebo/lib/python3.8/site-packages:/home/husarion/ROS2swarm/install/communication_interfaces/lib/python3.8/site-packages:/opt/ros/foxy/lib/python3.8/site-packages'), ('COLCON', '1'), ('CMAKE_PREFIX_PATH', '/home/husarion/ROS2swarm/install/thymio_msgs:/home/husarion/ROS2swarm/install/thymio_description:/home/husarion/ROS2swarm/install/communication_interfaces:/home/husarion/husarion_ws/install/rplidar_ros:/home/husarion/husarion_ws/install/route_admin_panel:/home/husarion/husarion_ws/install/rosbot_description:/home/husarion/husarion_ws/install/astra_camera:/home/husarion/ROS2swarm/install/thymio_driver:/home/husarion/ROS2swarm/install/ros2swarm:/home/husarion/ROS2swarm/install/launch_gazebo:/opt/ros/foxy')]), 'shell': False}
[0.197605] (-) TimerEvent: {}
[0.299961] (-) TimerEvent: {}
[0.356581] (micro_ros_setup) CommandEnded: {'returncode': 0}
[0.400359] (-) TimerEvent: {}
[0.502309] (micro_ros_setup) JobProgress: {'identifier': 'micro_ros_setup', 'progress': 'install'}
[0.502881] (-) TimerEvent: {}
[0.569121] (micro_ros_setup) Command: {'cmd': ['/usr/bin/cmake', '--install', '/home/husarion/uros_ws/build/micro_ros_setup'], 'cwd': '/home/husarion/uros_ws/build/micro_ros_setup', 'env': OrderedDict([('LESSOPEN', '| /usr/bin/lesspipe %s'), ('USER', 'husarion'), ('SSH_CLIENT', '192.168.100.89 61603 22'), ('ROS_NAMESPACE', 'robot5'), ('XDG_SESSION_TYPE', 'tty'), ('SHLVL', '1'), ('LD_LIBRARY_PATH', '/home/husarion/ROS2swarm/install/thymio_msgs/lib:/home/husarion/ROS2swarm/install/communication_interfaces/lib:/home/husarion/husarion_ws/install/rplidar_ros/lib:/home/husarion/husarion_ws/install/astra_camera/lib:/usr/lib/x86_64-linux-gnu/gazebo-11/plugins:/opt/ros/foxy/opt/yaml_cpp_vendor/lib:/opt/ros/foxy/opt/rviz_ogre_vendor/lib:/opt/ros/foxy/lib/x86_64-linux-gnu:/opt/ros/foxy/lib'), ('MOTD_SHOWN', 'pam'), ('HOME', '/home/husarion'), ('OLDPWD', '/home/husarion'), ('SSH_TTY', '/dev/pts/3'), ('ROS_PYTHON_VERSION', '3'), ('ROSBOT_VER', 'ROSBOT_2.0_PRO'), ('DBUS_SESSION_BUS_ADDRESS', 'unix:path=/run/user/1000/bus'), ('COLCON_PREFIX_PATH', '/home/husarion/ROS2swarm/install:/home/husarion/husarion_ws/install'), ('ROS_DISTRO', 'foxy'), ('LOGNAME', 'husarion'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('XDG_SESSION_CLASS', 'user'), ('TERM', 'xterm-256color'), ('XDG_SESSION_ID', '6'), ('SSH_INITIAL_SESSION', 'y'), ('ROS_LOCALHOST_ONLY', '0'), ('PATH', '/opt/ros/foxy/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin'), ('XDG_RUNTIME_DIR', '/run/user/1000'), ('LANG', 'en_US.UTF-8'), ('RMW_IMPLEMENTATION', 'rmw_fastrtps_cpp'), ('LS_COLORS', 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:'), ('ROS_DOMAIN_ID', '5'), ('AMENT_PREFIX_PATH', '/home/husarion/ROS2swarm/install/thymio_driver:/home/husarion/ROS2swarm/install/thymio_msgs:/home/husarion/ROS2swarm/install/thymio_description:/home/husarion/ROS2swarm/install/ros2swarm:/home/husarion/ROS2swarm/install/launch_gazebo:/home/husarion/ROS2swarm/install/communication_interfaces:/home/husarion/husarion_ws/install/rplidar_ros:/home/husarion/husarion_ws/install/route_admin_panel:/home/husarion/husarion_ws/install/rosbot_description:/home/husarion/husarion_ws/install/astra_camera:/opt/ros/foxy'), ('SHELL', '/bin/bash'), ('LESSCLOSE', '/usr/bin/lesspipe %s %s'), ('PWD', '/home/husarion/uros_ws/build/micro_ros_setup'), ('LC_ALL', 'en_US.UTF-8'), ('SSH_CONNECTION', '192.168.100.89 61603 192.168.100.90 22'), ('PYTHONPATH', '/home/husarion/ROS2swarm/build/thymio_driver:/home/husarion/ROS2swarm/install/thymio_driver/lib/python3.8/site-packages:/home/husarion/ROS2swarm/install/thymio_msgs/lib/python3.8/site-packages:/home/husarion/ROS2swarm/build/ros2swarm:/home/husarion/ROS2swarm/install/ros2swarm/lib/python3.8/site-packages:/home/husarion/ROS2swarm/build/launch_gazebo:/home/husarion/ROS2swarm/install/launch_gazebo/lib/python3.8/site-packages:/home/husarion/ROS2swarm/install/communication_interfaces/lib/python3.8/site-packages:/opt/ros/foxy/lib/python3.8/site-packages'), ('COLCON', '1'), ('CMAKE_PREFIX_PATH', '/home/husarion/ROS2swarm/install/thymio_msgs:/home/husarion/ROS2swarm/install/thymio_description:/home/husarion/ROS2swarm/install/communication_interfaces:/home/husarion/husarion_ws/install/rplidar_ros:/home/husarion/husarion_ws/install/route_admin_panel:/home/husarion/husarion_ws/install/rosbot_description:/home/husarion/husarion_ws/install/astra_camera:/home/husarion/ROS2swarm/install/thymio_driver:/home/husarion/ROS2swarm/install/ros2swarm:/home/husarion/ROS2swarm/install/launch_gazebo:/opt/ros/foxy')]), 'shell': False}
[0.603130] (-) TimerEvent: {}
[0.614569] (micro_ros_setup) StdoutLine: {'line': b'-- Install configuration: ""\n'}
[0.616611] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/share/ament_index/resource_index/package_run_dependencies/micro_ros_setup\n'}
[0.618204] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/share/ament_index/resource_index/parent_prefix_path/micro_ros_setup\n'}
[0.619514] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/share/micro_ros_setup/environment/ament_prefix_path.sh\n'}
[0.620961] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/share/micro_ros_setup/environment/ament_prefix_path.dsv\n'}
[0.622559] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/share/micro_ros_setup/environment/path.sh\n'}
[0.624427] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/share/micro_ros_setup/environment/path.dsv\n'}
[0.626255] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/share/micro_ros_setup/local_setup.bash\n'}
[0.628258] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/share/micro_ros_setup/local_setup.sh\n'}
[0.629966] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/share/micro_ros_setup/local_setup.zsh\n'}
[0.631405] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/share/micro_ros_setup/local_setup.dsv\n'}
[0.632758] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/husarion/uros_ws/install/micro_ros_setup/share/micro_ros_setup/package.dsv\n'}
[0.634333] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/share/ament_index/resource_index/packages/micro_ros_setup\n'}
[0.636256] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/share/micro_ros_setup/cmake/micro_ros_setupConfig.cmake\n'}
[0.638549] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/share/micro_ros_setup/cmake/micro_ros_setupConfig-version.cmake\n'}
[0.640135] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/share/micro_ros_setup/package.xml\n'}
[0.641701] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config\n'}
[0.643139] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/agent_ros2_packages.txt\n'}
[0.644541] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/agent_uros_packages.repos\n'}
[0.645441] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/utils.sh\n'}
